scenario N1 N2 N3 N4 ta raa t1 N5 t2 Nanc
1 63646 35913 3243258 266341 5549 0.0281357225030661 11764 43950 33329 3685067
1 66543 19772 167732 58030 3282 0.0168526768684387 7530 27575 31496 1451286
1 43312 38845 6270348 27071 825 0.0272890441119671 6723 29895 34531 1965661
1 129435 97877 193523 220788 2397 0.0191258192062378 7657 199993 154438 9151859
1 130357 628988 8680506 111497 2704 0.0289600007236004 15796 58825 55297 2353099
1 42999 5303543 1128803 36282 3508 0.0228011775761843 8525 37418 48888 628759
1 35583 9603216 3680775 225478 1668 0.0294980630278587 2165 37826 30601 885446
1 145138 1048632 134573 1357606 9972 0.0173683632165194 43394 117938 124349 4412694
1 424114 95907 652831 228129 6352 0.0179744251072407 16295 1633797 647291 3274764
1 73321 404457 904945 146859 2890 0.0256773363798857 3806 127232 101988 1209146
1 118273 164657 811628 5088824 4111 0.0200377646833658 22621 141663 109981 1827135
1 27158 42184 289303 282385 1318 0.0181852001696825 4112 20467 15661 3342157
1 17703 786980 1078353 122415 4400 0.0205497499555349 13818 19385 28688 5831038
1 386793 31874 13934 64640 984 0.0173944644629955 1784 729807 382295 7819691
1 24795 1154345 111307 35066 1968 0.0257474407553673 9348 40694 34782 6296551
1 51801 69877 5264517 128765 1256 0.019881846383214 4357 40224 29435 5908644
1 96763 92712 9156819 192927 2670 0.0263992082327604 10902 396243 148511 4562939
1 138256 73043 372151 16151 436 0.0264983996748924 1166 76982 54403 8600562
1 53816 410556 783642 1845085 1339 0.0298331510275602 32961 10607 37867 1182776
1 15062 16922 180824 818048 605 0.0176931284368038 3374 14309 12561 117283
1 50960 143786 2383158 799449 2687 0.0288431756198406 6295 121178 62168 1230172
1 119194 101529 619608 69507 3100 0.0145587045699358 7244 117491 55767 2355253
1 43765 189598 1319772 4284938 8828 0.0153063274919987 17809 40613 43432 959419
1 28230 632556 7281142 134159 2753 0.0237822476774454 7727 94882 37811 8102517
1 110392 297141 3361281 156027 6172 0.0186090487986803 42957 170441 105627 2118947
1 48051 46756 1951244 100189 1395 0.0152438208460808 5368 212992 69804 776685
1 56807 13015 42051 3240734 627 0.0252703912556171 3268 33564 24842 8564810
1 55564 8116128 200829 91421 9439 0.0262830536812544 10731 26747 30141 7956636
1 31600 230416 127349 7065852 5092 0.0106383552774787 10445 32351 30674 409452
1 469553 9757535 5077489 63745 9280 0.0260952450335026 27737 373214 385465 9108364
1 26635 5616340 19098 126149 714 0.0130569310858846 1540 18486 16965 6720574
1 183263 17736 44441 69059 2318 0.0104361101984978 4405 77432 56069 8890884
1 110885 352334 331127 761634 8022 0.0251949969679117 61304 197588 141446 5211660
1 228311 681169 76205 141026 3254 0.02304907143116 30726 117690 100331 5147521
1 173059 355294 245281 36499 2914 0.0194863528013229 14520 79158 89879 2190142
1 57098 44738 4833893 3345017 8984 0.0123284477740526 10625 48422 30981 9500489
1 64864 876513 6266417 6449660 1732 0.0252766478806734 64610 23827 80770 8409200
1 98039 673593 4852915 1754301 9052 0.0272585041821003 31871 221595 137111 4446697
1 1276796 229313 9921335 64931 3501 0.018632909283042 7052 854016 700629 6207523
1 240330 113075 168448 194738 4542 0.0217935163527727 6535 616610 285609 1409246
1 11377 16384 600470 590668 1716 0.0231390465050936 3844 16350 12124 435446
1 360574 153681 121060 62435 797 0.0194657631218433 1555 456472 369539 2261672
1 98832 471104 3368134 865207 6696 0.0146017940714955 15083 108201 79803 1395796
1 14732 58518 428408 40744 1716 0.0281506851315498 7211 41719 23456 224535
1 136637 6440862 3399552 174576 8652 0.0296702980995178 22121 50412 89902 5288742
1 43893 995792 818622 507983 5188 0.0177965685725212 15465 26787 42522 917914
1 62873 223409 302453 54783 5169 0.0110175339505076 13583 12047 21842 8733352
1 55628 1177160 5627980 66317 2669 0.0217977035790682 3078 29914 26602 351579
1 86757 118931 8816485 1852602 5198 0.0146419927477837 20873 242147 132839 2393853
1 19049 173646 53341 467086 217 0.0153822312131524 11671 11100 18932 6615979
1 12619 15439 2555417 1675614 3879 0.0224405154585838 4573 11283 13452 1397161
1 111767 1335924 3024623 92608 7994 0.0107216769829392 19958 48393 44996 2535036
1 138669 418999 4238481 830009 9579 0.0224898047745228 40844 72655 74610 4668912
1 283513 130299 1850105 521865 1011 0.0276434887200594 29986 165265 199467 1367320
1 12061 75974 462695 257830 943 0.0104482974857092 3215 17080 11132 1530956
1 430725 85955 57348 4473656 4965 0.0164125300943851 14028 600626 509483 3777267
1 70926 901492 30251 116745 1511 0.0144223337993026 6273 181036 69280 3453513
1 10404 41973 511315 146623 1260 0.0204218346625566 10869 16509 18623 2267678
1 123887 9868504 2090988 199906 4405 0.0130374524742365 22851 89984 82166 2221504
1 231647 5124561 73678 62715 3894 0.0264026578515768 14324 617151 221193 2800954
1 29619 3514509 4071319 162287 1444 0.022440942004323 20252 25738 35821 8932672
1 311784 998407 52530 49321 188 0.0161965191364288 969 323879 265085 9516449
1 26163 10907 43045 313563 225 0.0132804941385984 910 93779 27606 911810
1 112385 446048 177168 17875 1594 0.0214821361005306 6875 34330 41881 8001049
1 626193 736413 4184110 23852 3007 0.0107836229726672 3577 975231 473608 4307943
1 54128 1241043 1523442 252515 2305 0.0278268177062273 2925 83588 67466 721200
1 297221 857269 8712813 4830321 8446 0.0120833413675427 187198 61223 215564 4568291
1 198788 5913600 232959 67511 5340 0.0237003453075886 6855 65672 90293 4881432
1 319622 720776 2203135 198800 3896 0.0181777514517307 3903 246156 251055 4200060
1 48735 12539 27624 22890 2129 0.011963845230639 5654 24044 25664 2468809
1 35228 199420 6182985 270991 8084 0.0179762486368418 28321 24871 34644 734642
1 112317 175615 2149366 5083002 7586 0.027457794174552 8466 80155 90128 8133641
1 22483 100617 537617 39470 3605 0.016585873439908 7736 23334 19656 121682
1 59442 1518625 298515 1642073 8564 0.0209298394620419 8821 81149 47637 859631
1 101201 664840 755099 85310 8751 0.0227877460420132 10322 24487 40212 5486349
1 69948 25412 1016876 10159 1191 0.0184551663696766 2284 20810 17608 2134496
1 18818 366913 743333 62445 2967 0.0267665237188339 10113 20831 14285 6535899
1 78118 205997 1959651 1055818 5251 0.0137819228693843 13358 174103 107853 1594593
1 64277 664290 482630 596042 6284 0.0213865581899881 52243 46455 84557 1268360
1 273921 12558 917294 970789 2113 0.0160504784435034 3036 254951 126283 1919025
1 186085 1219859 2437096 35118 4296 0.0245147328823805 5485 337825 248107 911863
1 101677 2631992 1908857 827248 758 0.0207494348287582 26089 112336 129997 5145504
1 18855 2957985 144708 215661 5278 0.0130877615883946 18601 17842 24478 1828840
1 12918 21745 2629389 151680 2802 0.0227774158120155 3621 41196 16133 981770
1 100633 26513 1056719 57388 210 0.0192484781146049 3691 169011 65967 1754591
1 54671 596803 78717 6828616 1714 0.0231987237930298 3981 69189 59271 742792
1 84231 21227 4346490 130132 4879 0.0117328204214573 4922 19634 20086 3734093
1 218865 2684441 6702073 270771 5190 0.0289329420775175 54968 113996 190541 9776231
1 60158 39918 1713367 102976 9922 0.020018832758069 10511 200974 119100 898877
1 55591 6997459 910881 123726 4939 0.0109673039987683 12229 22657 38068 1234864
1 14756 199725 81501 97459 1236 0.0223655626177788 2741 32422 15473 9411543
1 12837 19120 32453 162398 141 0.0235544014722109 880 12819 15051 821670
1 962126 636280 121269 46233 6102 0.0263419337570667 12396 602327 431859 3852033
1 255350 254696 135562 518454 8291 0.0168277435004711 67861 105886 122280 8914559
1 42542 780092 9912752 1648514 1507 0.0251262877136469 2799 42703 32997 2959489
1 11630 52434 340572 2371864 4881 0.0168937742710114 11158 10787 14179 388632
1 141375 58080 1532766 13693 242 0.026992054656148 1113 101773 56138 5340470
1 1139153 24396 61955 976869 591 0.0136615484952927 7128 720560 722145 5884072
1 46455 6740664 6941279 108674 8046 0.0182799641042948 11868 27814 21634 1420032
1 32411 2296850 4081414 4566325 639 0.0162731949239969 27965 44159 47863 1753064
1 30189 2674316 847054 441992 353 0.0112432893365622 1662 74356 30293 1085673
1 244808 8620954 290582 924237 251 0.0166718810796738 8095 715252 399495 5942205
1 54725 3387000 4295659 9064967 8673 0.0234105791896582 20316 70089 66154 796940
1 16019 3775466 8124011 103839 3998 0.0263114385306835 14089 18778 17526 1416130
1 124066 4856253 6034290 3388426 5461 0.0180076733231544 26036 71087 82580 1826476
1 27817 1714127 295833 2536800 518 0.0175736844539642 2190 48073 28762 1507268
1 30921 6154784 98585 19653 319 0.0232704877853394 521 51512 32150 284943
1 28065 154752 543025 9241833 7181 0.0141475638374686 8644 107607 40758 946688
1 235079 40424 7993547 124889 4567 0.0119941402226686 7525 999331 201180 5154261
1 317822 276998 486472 39312 760 0.0233964137732983 2957 128119 107541 8113533
1 26981 35515 3290994 643312 3833 0.0248498544096947 9564 19155 27000 8820829
1 128064 364413 6044396 2411872 970 0.0272753350436687 1247 168348 143920 925238
1 26229 3629679 612011 30294 3930 0.0229392722249031 4309 14668 23543 361027
1 68562 11671 63840 9892670 3317 0.0272285640239716 4074 39095 31842 2385515
1 107828 883981 1233934 1978217 5396 0.0180000122636557 95796 85601 142178 2551064
1 55700 12857 511128 1366562 409 0.0248527005314827 507 204449 78986 6215250
1 132857 779856 457005 792731 191 0.0235839486122131 109502 130352 181491 4397221
1 569445 20326 287382 22832 714 0.0290789511054754 1054 229072 258480 3246264
1 21503 102648 59620 398066 2569 0.0241598729044199 9088 41678 21714 2287741
1 15902 149472 2310331 258407 7869 0.0204140208661556 14040 60862 32467 1960589
1 47475 74548 487395 82878 3507 0.0161063615232706 8255 305371 95972 5275190
1 900898 145402 133718 281578 6530 0.0235069878399372 15424 1341743 654962 4431052
1 43529 686823 2921402 38342 2474 0.0266187023371458 13365 132965 63245 4237042
1 20510 59481 71661 41246 679 0.0187174770981073 3234 95399 36633 273467
1 591911 438932 1308800 156964 8047 0.0158015750348568 24810 518802 380943 1668357
1 19851 55781 382687 890035 701 0.0132985524833202 11471 30475 20892 206759
1 23717 40717 72432 59938 1007 0.0144510827958584 6924 17657 16636 3376041
1 485619 1074079 54848 96686 2463 0.0124397566542029 8832 734107 401028 7738616
1 26835 113997 15753 50169 1809 0.0250555854290724 4450 12907 13677 211821
1 282620 590212 57508 1041055 129 0.0221998114138842 3564 264413 152047 6290421
1 114426 3153020 7798798 614481 3261 0.0250593516975641 19053 60997 87057 3618460
1 23772 27781 82315 2163494 1017 0.0132416319102049 7488 24230 16228 1389927
1 13366 68637 397656 2338918 1298 0.0188889689743519 1391 41260 19977 182794
1 28192 5904377 555989 199195 208 0.0211448948830366 287 70258 34198 4155405
1 1113891 3930176 2007981 64271 9257 0.0222592484205961 18180 1455106 655248 6114872
1 64968 236808 118447 88356 6644 0.0206782314926386 10809 21099 39371 8547340
1 321515 28686 151292 3700631 2734 0.0212582778185606 4267 331568 297379 823204
1 137471 131048 265583 1536149 6170 0.0141272423788905 50808 31315 73921 2093021
1 46256 119666 100080 210074 633 0.0171135999262333 20023 86752 45270 9118086
1 123009 41866 1703888 7222470 6350 0.0191131103783846 11939 32029 39314 8159981
1 12269 1119204 310635 105227 3778 0.0253373943269253 7441 40210 18892 405519
1 118248 169982 7239419 2696040 3011 0.0248498190194368 32088 374973 187019 4844296
1 44830 91854 80346 180714 2148 0.0218298975378275 28856 48515 44646 3340083
1 70804 20896 393508 68779 4759 0.0132781025022268 8796 23323 31328 4992694
1 26352 419026 7015407 156308 1391 0.0206536557525396 11922 13203 27485 8252847
1 254044 45216 5746847 3480144 7201 0.0236053410917521 11884 441989 357158 851435
1 94900 1405709 144560 269377 3267 0.0259404424577951 18336 73809 55636 795840
1 105910 158092 1477050 28140 1378 0.016489377245307 3134 375776 113331 2162829
1 38331 5684369 11014 2913371 218 0.0218802746385336 1969 68307 52568 685979
1 16566 6989635 1322449 585199 2162 0.0216035228222609 2171 19070 12892 1801830
1 14975 506907 722660 23952 419 0.0229558814316988 2585 15709 7467 1664361
1 33993 263025 353828 5013348 293 0.0253034401684999 737 29000 23930 3000505
1 157281 194376 67636 88774 1428 0.0133954882621765 2777 183329 94522 1471270
1 30057 12796 1074958 463548 2591 0.0100158480927348 3231 12519 14263 168042
1 75697 627988 892223 2571680 6052 0.0291359592229128 22883 38706 42517 1179209
1 82346 159787 492054 95184 7627 0.0225898027420044 10442 739105 112578 4979150
1 32738 4137766 103739 5464566 239 0.0203335955739021 501 32609 22451 460286
1 327451 376974 1669543 362342 5558 0.0149108693003654 17354 2244047 658928 6365865
1 25474 3302822 657584 782323 1078 0.0237762406468391 2507 65835 26001 2811921
1 118321 891748 42579 56070 1987 0.0242856927216053 9134 722469 137051 5845990
1 193208 78113 3331609 172524 3437 0.0163747519254684 6688 64514 49632 2674867
1 91864 29298 6458988 1512632 781 0.0227675084024668 5086 552780 122970 2446337
1 16275 323966 1861402 27406 2669 0.0213932599872351 6151 14596 19724 187032
1 13589 5293260 2934977 67707 623 0.0274442750960588 695 17975 17137 84739
1 37255 978790 61357 1225815 1233 0.0142801655456424 12868 57339 47089 306840
1 243504 1536826 4422526 945266 169 0.0291232001036406 2430 506487 360579 6611506
1 20542 306161 2992303 1460596 231 0.0262789726257324 279 18840 18242 1867357
1 23385 4165586 1069293 909672 189 0.0265607964247465 1939 34785 25816 1257182
1 91865 539236 54748 763385 157 0.0212211981415749 8844 57154 72178 2055528
1 45559 53471 2767645 1945588 2790 0.0253967959433794 3573 96947 75402 1372708
1 210206 2674875 256695 3341247 8275 0.0238970834761858 72055 303931 192552 2723641
1 48879 8071502 82520 43741 148 0.0147562399506569 1606 169486 62767 1132442
1 38155 249268 254917 245812 1016 0.0230049546808004 8963 59587 52501 1044242
1 138368 488151 8203068 4947143 194 0.0294108614325523 1055 131678 140040 5546426
1 20756 313890 6768549 476989 1966 0.0154986502602696 7086 47235 21774 368304
1 59047 1038077 815430 112254 4634 0.0145604843273759 36376 38252 75303 8569242
1 23237 21810 5360727 7858310 2053 0.0262983571738005 5327 84712 33034 888347
1 524207 3074237 1292696 1010637 3372 0.0186450649052858 8898 1249246 745367 3679799
1 16541 148240 3676180 959116 9419 0.0235616806894541 15180 25814 29639 7447570
1 46509 400854 53883 70644 551 0.0269472431391478 1077 86638 68922 2687489
1 418186 376808 1414509 71316 9843 0.0100166788324714 26434 194119 279938 5029283
1 97493 110032 1688680 172040 2291 0.0110453702509403 5901 147824 152472 432107
1 250388 458977 1435042 46793 6489 0.020866435021162 8272 991236 285356 7578155
1 45402 2128786 3881351 422332 7379 0.0201366227120161 10714 51050 60246 1869334
1 685991 9813933 79017 726831 1070 0.0162861458957195 1468 1585193 586150 8774839
1 19833 26635 2395785 264564 2027 0.0158444102853537 13443 16642 22178 3156977
1 113427 394840 2874940 3886145 6753 0.0261540561914444 38783 434128 192967 1700067
1 449959 6334379 9328066 291624 341 0.0276259742677212 1394 258809 258193 4867741
1 19507 7476878 226970 52694 608 0.0143396081402898 1029 32230 20367 1263541
1 320238 300915 193333 81828 2183 0.0275855697691441 8755 444710 497190 2023953
1 131442 3241646 197214 156880 4663 0.0125411162152886 19415 42081 37421 3787800
1 47121 1853810 1222396 2354567 636 0.0215873066335917 1057 83911 63403 5590027
1 35181 5173213 39168 2487491 2320 0.0164096392691135 5723 65770 51916 6626534
1 47900 159999 543670 3789530 4368 0.0223513338714838 7042 23801 31159 1071286
1 212681 218106 159842 214080 1244 0.0253622140735388 8578 89699 69637 941915
1 30328 1306121 395746 1470354 5222 0.0176274012774229 5309 13132 18459 1044326
1 202858 639400 7073692 259316 1866 0.0205514226108789 58059 885819 334343 7907288
1 20079 3471745 1919285 110343 4940 0.02898158878088 17766 74667 43291 9335075
1 366853 18475 40194 28712 1849 0.0209733508527279 3474 850255 222611 1679409
1 42700 1986920 205560 106574 5536 0.0153646189719439 14214 254544 94745 2861726
1 49657 131342 5967030 3644695 351 0.0191629715263844 16527 12288 23268 1895258
1 28866 11232 824456 7228776 2435 0.0268953498452902 5372 14759 21959 3972494
1 735078 3352184 141212 45785 2215 0.0236606393009424 8618 575712 363717 3641282
1 79215 9182012 8392306 7825086 9727 0.0104288533329964 13006 30999 30594 1691257
1 10486 682184 16430 188491 961 0.0292947720736265 1927 22236 11676 3838363
1 138191 411293 2617457 291898 6851 0.0169162377715111 100903 11749 110752 3164125
1 710405 247083 1075972 581976 6417 0.0217729043215513 7676 366195 345228 4724121
1 46687 1611171 4545795 2490529 6465 0.027050131931901 16332 65487 45040 3912033
1 89770 1214739 327915 316884 6571 0.0120297893881798 10709 79595 43406 6161695
1 11365 69428 1013941 49761 793 0.0169510822743177 1266 12454 6761 8716543
1 38790 277662 3897884 299471 9401 0.023529389873147 33820 50611 59047 769303
1 124827 4434885 2579999 3321540 9405 0.0227224305272102 105607 82513 165906 6898327
1 225998 3116582 4604509 4498481 758 0.0206443872302771 283739 179682 325366 9444357
1 120981 121329 1736339 880900 4284 0.0104994652792811 23880 70477 78732 501704
1 147380 7001391 3613080 2155040 5743 0.0235915239900351 13876 87061 98997 1146367
1 60592 5415407 49835 138895 4310 0.0291909370571375 7757 51514 60128 9215026
1 326178 485451 12747 536066 110 0.0269562676548958 436 322555 299604 3814241
1 654195 8231146 3906201 253133 7036 0.0157477632164955 15865 701169 347844 3601618
1 153445 125570 6020928 5453690 4015 0.0197420381009579 10330 434184 226227 1345612
1 94749 1119194 494446 1216952 6700 0.0113240014761686 16923 277191 86284 2635766
1 113579 1157466 111621 925629 1172 0.0280907601118088 5235 60878 71217 920024
1 78014 396320 315501 2699768 5539 0.0118294842541218 10097 219558 134578 1617564
1 29420 52835 368502 7730935 7631 0.0268657393753529 16622 16084 23074 2072836
1 136939 19585 251219 285501 490 0.0219364278018475 3279 126617 70826 780344
1 29663 131909 3445623 299570 1579 0.0285754762589931 25700 20252 45095 1208641
1 108704 28787 6356666 143319 2538 0.0129690002650023 6344 25482 23750 7915660
1 763127 607664 209799 109556 9089 0.0251011978834867 64931 302604 348002 8145188
1 28232 87860 68109 38847 3833 0.0271370243281126 3852 68886 29178 9520314
1 18273 38100 106149 145382 379 0.0220745801925659 1122 113753 26145 4897910
1 155962 81537 376374 53935 2590 0.024447375908494 10865 146057 59865 2452974
1 23125 284506 292390 534072 3321 0.0259697120636702 13125 11259 20117 1540639
1 151519 47068 2474759 116686 354 0.0180444680154324 9307 547059 195812 3921651
1 51079 13387 1382484 444277 247 0.0215529650449753 280 53290 58733 2036562
1 158099 1648743 766225 5435815 161 0.0232252366840839 573 100202 113431 6725484
1 146311 157023 67318 483563 2168 0.017727417871356 5472 506742 280879 6051427
1 105776 6026289 119016 6892265 4126 0.0261794719845057 30633 110978 104007 6700606
1 38414 26698 153777 1594780 2628 0.0153289726004004 7420 111822 67468 1679082
1 97330 7039688 1005800 74377 2536 0.0172280482947826 3147 593452 187189 7505150
1 372314 1752461 2086109 45236 8512 0.0179678425192833 15969 241076 178534 8385753
1 165931 1395308 328165 6469942 358 0.0137795945629478 2667 86786 81307 1039762
1 17683 840529 649199 27733 561 0.0201034136116505 3207 81268 34677 747485
1 28635 47400 4166555 2137052 2295 0.0277456622570753 10597 139296 47496 1326637
1 70033 2622707 855249 5654148 6613 0.0236715469509363 17154 10200 26519 9228564
1 596954 435604 81745 2060964 934 0.0295799393206835 51688 502376 268029 3569265
1 25250 185840 667303 32100 1606 0.0294146556407213 5294 56614 44589 174111
1 855016 96945 172998 1070596 204 0.0275540351867676 1379 1298125 539312 7171505
1 29143 4243074 3294937 2570232 7312 0.0284531116485596 11713 33902 21841 2849456
1 499795 479446 6386065 195558 3451 0.0200724732130766 32612 156774 159392 8881869
1 529868 379562 3229738 1277289 4497 0.0291198305785656 29853 181126 196372 4359431
1 78002 5660296 488726 1087011 662 0.0192227121442556 2261 145641 99471 886705
1 333064 1878735 69379 409240 4405 0.0295607689768076 30930 722408 363141 9768273
1 319381 107739 3688849 61861 4652 0.025740958750248 7864 970629 658406 1420379
1 166752 173558 38058 679761 410 0.0292730163782835 12530 130545 72121 3002415
1 477953 1173272 173342 67495 8901 0.012808240018785 33402 149378 230414 5285650
1 100205 5058355 1582372 495201 919 0.0274472292512655 71895 139580 165106 3520029
1 43785 25067 78229 1184153 1723 0.0231442376971245 1745 34551 19317 223419
1 31496 1388433 805880 122987 4586 0.0203930418938398 7308 27621 30472 186836
1 189183 32581 32893 5527628 883 0.0209481082856655 2851 237708 102056 3426988
1 98453 49018 2744149 6782298 1574 0.0270024985074997 9719 352632 137863 488973
1 87864 1204436 1630446 11901 1969 0.0205340497195721 4714 131058 63686 1919408
1 453422 3764768 268638 1067102 3771 0.0183956287801266 66824 543991 272682 4017473
1 69934 4894431 59614 88179 5103 0.0283266436308622 5399 27863 41224 5105276
1 39778 8517940 42145 3731172 1990 0.0290379654616117 7511 84282 61561 364869
1 147081 971400 818413 648639 2640 0.0174516662955284 9804 248620 111684 8122353
1 1602455 108577 965989 2434483 1850 0.0252905655652285 14569 793744 522917 8366100
1 170237 1261312 202690 6055024 6172 0.012647720053792 10624 192409 216409 3357965
1 711505 80161 138803 2746086 3460 0.01813312061131 39238 1208608 503534 8165167
1 48586 60005 11301 17512 1119 0.0291778035461903 2818 25429 34769 6791799
1 610499 4586186 182071 638777 397 0.0127249369397759 1343 1011189 556781 3451293
1 305551 519650 190276 9875085 6333 0.0147478068247437 49275 70878 115325 4121565
1 148992 338507 161388 7869721 2796 0.0242433678358793 5659 134262 87532 689124
1 78285 1123104 4579517 100365 434 0.0258740838617086 520 34113 43361 8804819
1 12234 107203 2361717 279731 6245 0.0181347075849771 6886 15098 11145 147789
1 194215 112928 2778976 98898 5534 0.0166484974324703 15855 54609 41507 806193
1 69873 363469 14841 273906 1353 0.0116278026252985 1767 84589 56872 864307
1 42060 144151 565913 90500 1411 0.0284105911850929 2493 13253 19025 9131370
1 53320 49877 931745 91422 3828 0.0264285635203123 4079 198498 47404 1675868
1 220388 5865881 86519 174743 1972 0.0167065672576427 7745 112848 157972 4018522
1 362051 5891857 463448 4476961 2533 0.022500928491354 155683 470796 302408 5814308
1 292466 187103 576261 413659 4768 0.0122552895918489 11643 1334718 622926 2297098
1 117671 658214 2635341 2029640 8201 0.0172916650772095 19533 447097 226973 5527212
1 746127 5260864 376903 182614 8085 0.0284284148365259 15816 361076 457828 2010667
1 61140 120160 308004 144170 5284 0.0271749440580606 6241 162272 36775 5387250
1 1782292 1441905 31537 124066 394 0.0155557598918676 955 870793 668646 9690101
1 51516 262734 110690 5842508 1139 0.0264277532696724 16182 76965 48013 6422015
1 283156 1547885 100965 1913423 2127 0.0216587521135807 80219 941153 508517 2435321
1 73874 269643 121887 270010 9997 0.0253840982913971 31364 143938 88720 964492
1 684951 245070 78400 6277447 6374 0.0206785500049591 15534 705129 721891 2634884
1 209267 231324 2984366 762313 9911 0.0108608296141028 15563 213800 91368 3864861
1 400846 1512503 15008 2911197 784 0.013104161247611 29827 151975 133353 4077820
1 658450 7399696 595097 9387061 2123 0.0282839871942997 139580 165487 236371 8290791
1 119097 26000 3379030 877255 281 0.0114996721968055 1686 89194 45975 1689353
1 37638 7535779 1101197 15773 1780 0.0273194015026093 2696 70794 21054 299675
1 48544 660409 142083 90958 2074 0.0281220991164446 3843 25936 42325 707778
1 137683 1577297 338338 1019420 7787 0.0177106838673353 11127 45549 68782 7335498
1 115417 3932987 22384 1557561 2573 0.0236412174999714 8434 111637 73031 3266540
1 30450 83622 24109 626413 927 0.0174828376621008 18354 131767 36835 3973590
1 276693 376957 1814375 344364 8357 0.0113618932664394 30724 150010 237089 4683428
1 18996 21904 2897105 164969 899 0.0292761921882629 3874 77398 35033 3387586
1 104217 361059 8695048 397433 3021 0.0288436226546764 7512 185412 95385 740048
1 87045 10360 4936899 1043423 1227 0.0125371543690562 1738 52404 60985 1168556
1 88598 8704155 6990633 2444920 7609 0.0212270822376013 17635 299131 99885 3422220
1 24869 14094 125777 4855746 1368 0.0256719924509525 1991 86428 20926 289329
1 78709 20473 732187 37188 1016 0.0183094404637814 8643 43988 43840 3830941
1 110589 337320 154320 9164823 9146 0.0208620615303516 34978 363413 187468 2682289
1 823674 21329 398971 5356560 2651 0.0283564254641533 2968 590939 631887 3026792
1 407486 413032 103086 52064 3582 0.0214676391333342 13964 1690095 489164 3121685
1 536162 5645194 210467 41484 7311 0.0162201263010502 9511 226664 227161 1622230
1 135913 6038351 358057 4074916 8009 0.0220939144492149 85506 194703 153684 5338720
1 196285 847655 2871129 226320 651 0.0292686354368925 35160 745830 397428 2742072
1 112918 1259635 109576 979712 7340 0.0104047199711204 14714 65602 45260 3392888
1 27741 2065113 2332695 666965 3489 0.0196956414729357 15408 49207 25376 1519279
1 86574 3676108 599241 742010 1443 0.0151315908879042 15204 286183 89868 6466717
1 40023 212414 49044 5721867 4536 0.0228352900594473 27660 56312 53704 6371870
1 12610 1022667 5736195 12512 1340 0.0182308685034513 4637 20668 20913 2957551
1 19209 7294309 593945 1658253 9966 0.0219985563308001 20098 12828 30494 4490529
1 37608 2015823 169120 1228164 1064 0.0247628334909678 1457 51143 48933 401126
1 100437 1674384 52564 22145 3267 0.0153720481321216 8706 133595 51406 9825178
1 53385 5863071 34638 1040791 1584 0.0234938934445381 10598 164603 79681 658806
1 948687 1141299 303818 67048 2250 0.0294559001922607 22219 469102 507636 4452746
1 41363 9618476 8912039 4690950 6061 0.0126145947724581 6456 10298 18444 5129349
1 10287 41777 250860 508185 7559 0.0194396059960127 7608 42118 18538 4011196
1 45723 4409683 5074324 5497612 234 0.0201603919267654 72469 18570 82901 2695380
1 113664 35514 463515 39399 2141 0.0278238020837307 4640 359094 218933 5168258
1 391626 16348 2700792 72800 4864 0.017133416607976 6465 90645 80652 6715186
1 66300 537275 1196121 33823 2514 0.0217642784118652 5642 39355 66614 560357
1 121264 321867 3999246 347806 5406 0.0283222999423742 12699 26670 27356 7809870
1 138871 400823 424067 269120 8234 0.0203286483883858 10800 156442 200796 875751
