scenario N1 N2 N3 N4 N5 t1 N6 t2 N7 t3 N8 t4 Nanc
1 1002352 305835 242244 2315944 629777 32478 299580 51347 7233355 71370 554391 722013 1740501
1 2134610 346436 2608379 5749678 1906532 16059 1065370 25517 7545594 452199 159931 668373 7392021
1 2173935 178642 2139428 2434892 3102116 19522 1694628 56805 392356 86085 1146053 534531 760431
1 1402134 786300 2772980 636248 1787145 25288 187985 35203 3234569 109359 551305 357655 1721533
1 1712028 176529 6275137 4504064 6405370 23922 775390 47912 545430 127845 670926 329416 940501
1 3803812 146149 4298968 1123340 171687 15291 420278 21298 1379924 70603 300437 263048 1379943
1 7173312 507252 3883212 144817 6664596 26328 3210226 41972 367711 131474 454773 478955 4978901
1 1141061 388008 7508869 4042660 527326 50230 31075 51366 1043724 79687 55317 136825 991770
1 5551398 717007 7337651 3187193 1787996 35770 792992 61504 2179002 70823 38050 113763 1356812
1 553310 9249468 4737543 177732 1427528 15846 7567240 34172 321242 46198 430184 496546 1001165
1 964333 91842 1894716 668546 1122035 15343 439143 17977 7914858 113296 68806 168826 779850
1 2663280 661576 259785 9835188 939521 80797 54886 89665 77380 92161 464983 494321 2076949
1 1897982 3067925 192432 709033 1459088 18352 1688093 18511 675815 25162 552760 339607 630673
1 6044032 3517717 1668333 1515990 1113980 17706 1876620 31628 443895 53175 12406 69282 1150228
1 2934490 7753285 286208 406950 1628956 15780 106245 16559 15123 17968 82927 71164 1782799
1 4823479 3089935 294299 746657 437351 20716 1302720 29245 124137 29612 311769 166171 685583
1 5963586 1966106 1030246 143560 7854445 22832 5553967 35818 907924 176500 283790 525132 7511136
1 1670503 960054 1358019 86392 190575 16532 13909 17990 915525 21988 974303 467135 950255
1 1481629 1516394 3254687 624277 8278928 19177 33468 22238 9441284 90175 689276 658945 1291652
1 9348149 60062 1010843 257751 472272 16144 1636115 16774 31922 20163 21955 35020 4432163
1 2014698 5324646 273794 263815 1398775 43350 224649 55476 3604034 59854 90248 111241 1583850
1 9866760 2395518 635651 187658 1072459 16333 1281952 39869 1653363 76241 160990 144511 1444473
1 2307067 1739381 86905 210836 1379270 16098 75634 20249 199135 69178 475009 328259 1922457
1 703850 285566 1623019 3964208 338263 46669 59580 50070 525125 87678 61053 119884 752469
1 861939 4590334 8935548 176190 1316948 15839 224622 22968 49539 33163 1803167 543126 474576
1 565366 611889 1926832 709382 9021042 32947 670557 73870 239215 80373 82501 139824 552106
1 413073 7302954 6845497 8922697 906871 17534 2129695 56755 2246163 99461 15908 120719 1165575
1 286944 92630 463959 63691 149168 16604 601876 17831 31863 26994 457017 194451 255392
1 426125 1149624 272626 4736693 7617545 21435 461418 25665 3509367 27056 398537 426857 786958
1 1179339 5137039 4878577 1116389 2735764 15813 3379318 70801 2031450 178701 54603 254792 8068180
1 1137652 32729 2986346 2739919 521719 18173 4991849 21548 338999 70646 365683 238151 633823
1 5178652 1771607 3315326 614567 4189704 145368 931691 151654 157423 166665 43292 201387 1524078
1 9692127 426667 828846 359560 376360 15862 2589233 19830 600981 101830 119443 176526 901316
1 3089261 1528015 119313 9047027 4091055 33507 359951 84444 573447 96526 165705 232884 2593120
1 559997 7015943 4354112 613712 9053091 22889 5344249 30787 3624683 36206 96601 95319 1949042
1 1247681 102020 86479 4145287 1200971 17710 1402274 21909 976690 65342 1247284 379309 930654
1 654991 138277 3960996 8216836 9031093 28309 2220016 42095 306253 79480 614114 360647 982258
1 916122 4383587 1718359 6910065 9408748 15468 869234 45674 38749 55214 257898 258869 498865
1 3623477 1506247 771215 3651508 2537120 24513 695920 25904 3525951 285167 187707 355991 3009312
1 1167101 117703 55706 802586 766660 21742 804659 27420 925050 179516 828851 725430 751971
1 635787 90526 2984216 5297618 3123189 26011 2946179 35212 101811 47628 148648 119877 255666
1 331205 8928446 104886 106051 160912 24261 275367 30895 159738 36436 28727 65936 4281330
1 3876244 8823829 53649 4368341 3060769 19225 366666 47549 3853664 367640 303872 570804 5284787
1 865208 1029939 566840 699778 212414 15183 157471 48858 744707 51281 46606 100004 731867
1 4680662 337002 1214579 1190841 1797755 46872 6255398 53450 95980 73684 33630 94520 1894481
1 703519 1298171 788475 7279721 771244 56308 772047 93850 811005 119136 103295 234060 7010283
1 199943 991852 346311 180267 3039257 15209 356139 15265 2039979 41599 39968 81775 851009
1 365952 576788 716658 1102581 1005719 18095 18977 19555 6523291 128879 87193 194769 1736794
1 534027 1736170 7043798 1241413 324657 32309 47351 35423 756385 67442 73083 155504 633904
1 605874 83360 347312 400485 3762460 19304 993981 28684 3548392 39259 331792 390154 1335677
1 362606 2002099 344964 3000899 964880 29711 32758 30152 25608 32287 454694 570822 117959
1 3448182 320719 9168077 1700896 462362 31807 576125 56317 6288018 69865 242797 159410 619744
1 557494 89724 641914 1542687 3449679 16440 1456347 30093 138524 55238 148406 266709 402352
1 4403653 1790435 1959615 150763 5496896 22843 527557 55696 591920 80300 58070 128650 677867
1 3760487 372724 556364 4471262 648011 32891 94062 44916 3501178 215256 662881 531325 2232280
1 8974061 1452924 165696 9715586 602875 26450 2230900 75465 2646764 106985 1263951 550019 1496249
1 7562601 281150 241872 505475 2477844 53173 363660 75979 46027 91433 511282 691700 4381033
1 5645057 1517432 1874329 682857 3146243 27705 87332 41860 206686 67369 521453 364600 913283
1 3639497 1272001 7716855 925409 515310 15185 277654 25287 6312002 27137 104440 64103 992052
1 3489096 201378 1064642 612597 623844 29707 245646 67483 7881332 149562 264957 378689 5648078
1 2536791 900305 3705306 355934 399041 66125 57494 66174 245075 123895 282756 413947 2004573
1 1508775 68293 104590 5873611 1744897 30982 4880546 35520 139437 81370 295953 346121 542811
1 592616 82914 2774873 703149 262496 15693 72882 22217 237530 55315 360752 296807 209344
1 4071368 259835 8898983 510856 352665 16384 926768 34475 5227177 59515 92966 182027 6167644
1 1383546 240786 1255530 538049 1096498 18609 5481672 73541 693923 78845 488108 219388 710666
1 5766753 396042 4937256 821218 4383080 34893 6463622 44654 2650322 47195 287735 170896 2015959
1 4044245 1854329 5152001 3927343 1314333 22378 3868068 22632 50188 28199 94954 153755 2585771
1 3416259 1212190 1018901 82111 398063 28228 3556877 38527 319680 48023 153397 182858 2898889
1 1480188 5292909 374826 1881320 59808 15197 72288 19515 8452569 22460 27533 44368 810455
1 645233 259731 1267156 285946 174475 18184 1203186 81423 5534322 85039 187641 237608 1730669
1 553753 369038 212790 179300 212586 22084 879030 59189 551886 64413 132708 236003 725965
1 6014109 7102513 100801 1289128 1572949 21005 2841203 46678 83639 66334 12295 76501 675112
1 666527 93175 678941 314779 1032733 20506 88812 32542 25474 35788 463392 583448 567298
1 1015683 247754 380901 1689530 398422 75501 3897136 114171 134724 115721 327713 472518 2520132
1 9365083 499100 6215609 488795 7494600 15853 9052896 30170 52566 37835 77243 130282 668043
1 1104351 148543 875502 296997 8337695 19733 5477456 45968 5087327 59603 514328 553515 2218376
1 1051566 249932 301720 1002897 2391612 24535 6875075 49936 272061 126494 178060 278656 356763
1 644584 6498412 8380820 1510565 2243322 37191 3673773 44744 387163 50303 10145 62110 4994360
1 1514862 1600712 977546 82535 79682 20853 32039 25604 9557045 38512 175286 190651 3219740
1 2414715 1681958 171123 61585 4744021 22548 87178 40206 874423 164860 1269647 709341 1634081
1 8851772 873047 7980713 49675 420303 15468 4124887 18190 2509563 37366 995523 606581 2222586
1 6924626 485607 5522554 229207 951887 23080 20824 28156 141064 50597 11455 62531 907625
1 613479 184347 5725710 160742 355098 35881 4347418 42937 5148305 59446 56670 143623 2322955
1 1981578 2178648 783896 4206965 446875 16470 307099 38676 397645 116281 10233 122456 3298820
1 476700 2273556 9688568 4139404 8713410 22107 3080622 31069 607548 41082 886115 271312 460473
1 875943 566495 698400 4873618 505064 16437 369901 80788 1553165 144251 268178 288013 1394788
1 8275675 4580301 2173163 3580905 528913 22075 362678 67141 4307267 83697 260022 394239 1871505
1 6741881 972937 254209 177887 5165074 26433 1997134 142641 321862 169696 789221 527601 6730663
1 574162 6581758 193466 1868660 204158 29934 504751 38243 67932 54204 94675 104959 841493
1 987739 61882 758903 5676314 547129 16666 1935632 20113 1301144 85008 297466 408798 1266841
1 1967673 1699449 1338441 3042591 551638 16340 160294 45243 111252 71054 60920 117472 5208050
1 392323 42896 1438660 90390 1418932 16549 45800 20929 621635 80551 714840 384283 178659
1 5026155 6112849 3327630 926533 349255 17035 2822371 32009 3032631 55275 27466 67693 1580287
1 2292549 405643 2264634 52164 98578 23109 279244 32380 555879 40200 38759 72428 826306
1 1025079 7418606 2191668 3748049 9007065 21727 5640969 155913 293483 185852 263102 285844 1176750
1 2583030 250307 141460 3151636 157104 18746 344880 22464 15859 28345 39033 60828 454020
1 1986333 2658860 4972391 779536 1365710 19882 20164 25815 2896439 26701 135818 159821 3791169
1 1307047 480140 8945205 287916 9943473 21476 482145 57205 2568432 59625 449877 221555 1627139
1 9797536 4963855 320903 405148 514814 23560 311888 27603 91775 41779 167856 114046 383823
1 3625130 2376344 7394988 4363117 4876596 104172 338793 121100 525306 122006 161875 317159 1145967
1 2675683 73469 3891882 3581061 4530950 15965 2116616 16500 59184 20522 74286 120396 537933
1 1728696 224981 353788 196217 625698 30127 9089158 31705 2572466 262714 317342 742828 8348993
1 5483136 1153233 3208312 589489 549665 42912 634127 118294 137173 130197 130215 196030 5813593
1 301969 2000700 59137 9812173 696341 17215 642510 20304 4597320 37125 42562 85521 2022001
1 9939212 6144804 64350 63305 1326801 18232 649173 20648 31407 33556 30608 57392 623535
1 3974485 251158 1056781 128401 8681523 16265 634200 56149 357394 165405 76927 266959 4410213
1 942939 9646701 1317483 665957 1291031 29287 1816254 105323 1188162 178182 28417 226266 3206596
1 1315698 52420 1506019 920496 250963 16332 8612567 25635 168354 39733 225855 215534 3228622
1 1785536 3597241 451657 280841 3110999 20221 1693497 112699 655818 256482 668425 562790 937585
1 6893330 31402 868532 9700482 66161 15250 6662482 16172 452646 25364 105053 108271 2676498
1 3716244 1901823 1718573 2733265 841554 24835 951627 39544 11572 41961 2599251 632414 689628
1 2140357 5689042 120828 2115213 3508927 28333 449926 123872 476992 212637 169631 291124 2382324
1 230065 821283 478388 1691644 184786 17332 5190993 19207 2581227 36797 220756 225917 304203
1 2522070 135796 256634 588178 4135703 48532 174703 49858 224527 63498 317300 286357 6792319
1 6271858 60788 64058 2539439 5893757 20991 242381 23710 29127 28120 1098724 517787 804211
1 1869558 2944631 3049530 67274 1595558 18650 259911 23336 8511984 70008 535710 554618 9505341
1 1126238 3242311 4644113 489435 1198554 24054 191287 30290 312553 126816 51373 162582 5732283
1 243810 128362 2107411 190104 5820643 20302 238256 24202 18393 25676 272262 335702 421412
1 969435 1036377 293342 208111 5302223 16953 1456424 20360 841966 33608 43886 109401 5135120
1 3618022 512530 158032 70517 3468181 25750 1358852 28326 636681 52474 1454588 402076 1218034
1 2469728 1905650 2177216 1695785 8421347 31892 6671533 33539 824023 337534 229829 599956 1205104
1 572043 176448 244846 3095072 1865750 15085 916732 39000 340746 103037 190244 442118 483280
1 2120793 7160620 265466 259680 7531797 36737 1039682 38064 256345 63831 1023978 421720 3129096
1 555739 444497 203151 1264198 639510 29690 1964179 90212 90924 103168 11787 120993 631133
1 6983343 1565008 147894 77165 2062788 16102 2508542 23836 3401080 27701 90122 112939 677888
1 261274 237029 186130 195949 114124 20654 64366 24683 406280 28602 477125 325522 376043
1 792657 2275047 4186352 4373607 399825 23605 1465079 23636 9013362 29412 116318 173864 4911290
1 2583410 3517704 3786343 552087 3776139 28595 3800261 49730 177221 84487 5785758 662998 736438
1 496030 150076 5111037 103734 2651157 23098 209709 52004 307567 70304 110636 197232 286380
1 127842 542036 200744 3845430 5421917 18001 2796334 18406 1313341 26875 77212 93849 667606
1 582541 147505 772835 1362350 641553 22739 245793 56739 226579 97220 141556 189320 591610
1 5521918 957700 3682298 9918296 9350842 28311 2155087 105511 2216340 167302 62080 224162 843146
1 4355979 1718811 148021 156382 3510571 20334 3134019 30220 108116 57940 59566 75100 996391
1 995056 190360 53629 3033451 403847 17497 5319683 25068 230262 55484 146252 270531 730309
1 637477 550884 3692233 2962305 561071 17595 90459 22910 104945 33746 13197 40912 224925
1 1217024 5297176 1678059 2856674 180883 23298 532916 58380 1441721 81619 23716 105348 7753829
1 4147737 495298 996700 207569 1930356 26234 664633 180157 660048 316137 604555 577804 1284218
1 2074999 850363 2475464 442455 4026503 18851 289525 19578 312981 27048 41985 89808 6212276
1 4233715 532681 835651 4094248 939386 19772 409220 95589 3939884 504105 142259 614685 5302045
1 4121768 1342327 101545 841820 470128 47498 3927709 79016 5435873 253504 91847 332296 4516451
1 2734946 235220 221424 9446599 1195646 15582 2830149 35777 143006 91479 1600128 503811 722342
1 964250 1986760 63717 5094733 1660247 19845 139795 26548 4369491 40247 440614 604521 788515
1 6216245 408909 407452 1086509 4506352 36984 3697996 137237 2313492 287029 300692 385892 3244325
1 192100 319300 594855 110722 1246943 16045 6068522 25380 74399 46590 456503 176918 187379
1 1307343 6755608 99661 431419 2049474 15184 2283313 107056 271592 151126 85389 275460 7360941
1 642106 375396 313102 215531 399010 19006 9469243 19941 238656 82340 70275 162782 9411300
1 250599 190927 406919 1582259 7860919 20551 6157483 29158 3224555 51888 28524 101623 1202239
1 8499557 1587799 207140 461089 3547517 24743 51139 37152 3155845 41773 141659 120085 497523
1 3638819 138992 4724049 8561741 2804887 53808 1334227 74261 54026 89024 149454 236128 7484160
1 591433 1936323 9007397 83829 2218898 24582 8670135 32217 436819 43482 378364 253853 1378667
1 514588 695938 85591 149457 5437759 25669 270426 31859 1884297 47673 111217 137903 348204
1 345894 3090389 159974 633111 134605 25340 169472 27444 1956339 58769 74679 126737 1912504
1 509933 343338 4050907 63152 4967488 17765 365683 83239 332733 180844 78837 249516 1967102
1 461393 9909298 2027157 191542 565756 22953 30232 26099 7982503 43260 258962 244953 3064292
1 5620681 335288 8172542 9204421 272328 17945 295907 25743 1145942 141463 58253 212746 2499560
1 8069117 125799 1205532 908222 399563 17380 5245584 28336 343685 88033 389709 239511 4773208
1 471979 216764 36424 1658978 3709748 18170 982579 33072 232575 48191 296961 257365 167351
1 1132499 282738 2032330 283531 2486960 37698 9544741 89799 18632 96989 413324 583148 390840
1 1255781 59747 3857899 79940 61756 16497 1440230 19730 325871 36876 607150 387531 208742
1 1708363 4005832 49778 6930186 219859 16079 51283 24315 1269543 34341 1048493 548291 3616333
1 1165462 1460088 3117464 334984 705166 15740 33842 18538 4490920 31541 99559 60077 661942
1 345610 132024 5743751 471855 394757 34889 2860015 49808 1354907 77030 470580 392199 138312
1 951207 7462693 607338 6350499 3138657 28138 2259105 99086 1249644 221213 1957312 602826 2209141
1 1152596 455711 304862 730495 4270386 15233 1133367 21663 1245780 54467 419291 293859 6672051
1 1103142 852309 2675330 1429074 2814843 42350 20860 47692 216316 66179 226708 205337 2250543
1 336595 4581766 79384 264934 1131555 18210 106423 28435 38010 32313 110866 182447 631700
1 6858486 1032202 402760 128226 88246 34237 34017 37133 13197 37412 2360427 691756 1652843
1 143826 2058595 195830 5149941 356742 20331 155617 23989 339444 30491 150590 104854 479861
1 9804095 5661708 680033 1090958 6116639 25140 1971014 38266 4572529 42640 383052 222116 5207088
1 2363989 3871751 4746962 141528 390632 18600 1942975 20477 20274 29767 93339 97588 1259929
1 2155913 118405 3983701 3339620 1983793 22355 5406087 26397 131178 36549 66653 58684 1705365
1 3753412 1747645 1330768 86944 7471502 46673 2259510 141543 4004450 173421 528117 662384 1804149
1 5658347 4784640 3932994 700750 7172532 24177 533316 58871 1753520 94322 653030 245826 1177898
1 3087008 1099550 153604 287237 8434941 29367 1956170 41783 2160872 71836 358471 393648 499138
1 1588993 433938 88682 135213 454296 31292 1260400 34409 796202 112561 359877 496104 6461656
1 877769 98089 2006456 915670 2594954 20957 1894927 23454 4801376 75534 709415 226463 243088
1 1577702 832335 340226 599290 5581654 30554 405891 80484 574903 352387 39295 373055 3717535
1 1847239 85268 87149 7835425 2050514 16134 5737277 17352 1260357 140600 2854638 658940 482346
1 594508 6227460 878704 5212972 534102 15196 3179912 40767 972457 99334 57000 132115 2408423
1 1990845 1241395 9862022 294435 962394 23284 5852530 24982 745019 121925 262193 254926 8801740
1 614407 76573 5397062 69274 8384287 16327 89788 34675 3002961 35348 75840 114337 310593
1 4011076 25974 258744 321540 112909 16232 116736 25359 281081 32506 507028 350943 1130758
1 338702 630743 1108339 7964994 656854 22821 4984931 32560 2144190 63105 191133 156723 1522080
1 3894223 240537 88902 60379 1463181 24812 83814 27557 6321418 128116 81821 228583 1803495
1 4568630 392056 344434 205754 311525 17554 467306 21675 17154 27243 358001 381906 665778
1 3873548 470007 5971212 9075116 742463 16333 94897 23929 28441 36085 111969 133086 755233
1 2453214 85040 4766412 878022 9541679 16361 45246 16677 1020448 104523 34579 158360 568767
1 2293176 143495 339643 480817 255751 19682 225982 23541 2213672 75351 3424536 509018 1053347
1 474173 2075073 163429 634227 3609008 16395 2800342 18431 2090753 138098 301638 299806 2652113
1 1935519 181911 136048 121077 6799120 23345 755736 27947 3377636 61729 941648 474469 273325
1 1608115 344492 766721 401465 139108 15914 7214243 21881 1389080 76305 792483 404030 1924608
1 5275210 7087868 48654 1363933 236275 27556 1060848 35230 39214 43833 858675 674325 2155684
1 560220 960187 733862 112036 210404 37936 930629 71607 49655 73170 47288 134161 514198
1 407304 1727818 1876624 130024 4802159 17185 1190469 17988 5375836 55052 452093 207846 532011
1 4507887 791455 585272 3733362 2264557 47398 561306 74896 198989 156992 966330 396065 2981480
1 272097 2227454 189860 8490881 1056018 17014 9281299 49032 271285 73727 171436 126666 839770
1 2979665 159943 1126764 1967980 1614548 22665 1646190 39338 2642648 63757 303180 385735 513921
1 1853906 2946247 608016 109313 1160246 26183 9039539 31845 51643 56010 87449 106220 2043377
1 6320944 4435065 66248 435998 3301415 20359 4555304 50982 368431 88388 33100 137853 6787880
1 8749242 450786 39714 53645 373729 15520 42110 33533 467190 109090 347905 413593 1178756
1 6195628 3037338 988606 284913 247190 31562 57708 33119 616094 47213 142873 110875 348965
1 3725732 337097 790319 141229 107665 15433 102385 17961 1057326 20900 87219 108179 235432
1 859462 183592 462510 111764 7209698 18491 2435523 118389 8830064 147803 34252 193308 3848891
1 1456618 672910 342111 6043463 4315777 39621 4729766 39886 131812 67023 41701 77418 697117
1 1750102 198581 151995 180119 112237 28717 551924 72917 9292267 98196 310743 372069 636834
1 4684711 2276434 996597 1788979 353055 50193 693245 88950 42516 98059 334419 215766 5922553
1 179598 80932 704189 1194589 292625 21519 9951566 22309 273955 36219 115692 118306 59643
1 2232255 422774 1864719 2783829 5415677 31286 66652 36548 88092 53974 481589 266467 5820010
1 5786342 1375328 292628 1127160 2175775 27581 227166 42553 645219 46459 392413 179041 3209721
1 6632251 2159179 290793 74072 1651380 24110 640634 28985 25134 30564 25227 62570 3441529
1 5365166 458658 48310 60890 5514347 21544 108707 25878 4378847 146061 240418 368576 7819101
1 227493 555746 2955770 9138583 80836 15059 1959585 16767 375496 26468 404793 183089 462533
1 2139090 67995 286914 229507 8132665 15634 2148417 49229 856333 151231 264047 325168 327260
1 4038342 699420 4984943 2537259 7091712 23960 1820662 68750 2133621 96804 33774 150995 2837824
1 6207152 1733820 238924 60996 3638652 17435 4160989 30324 1095380 303071 399751 394200 1246364
1 2168186 987635 1599626 1996961 6924946 77816 369716 87707 5100806 218135 126258 445769 2078648
1 8926110 99959 3124187 460003 2849056 18914 163583 25460 187317 90564 2474561 495712 1325920
1 677760 5299929 698780 2524356 692354 22270 7410818 34186 368508 177719 50920 217140 570280
1 700472 282471 2253314 473858 9913762 30061 119601 60313 278856 74827 309533 236160 260825
1 828282 773583 2631242 62047 4365535 18969 9447219 34798 65380 48043 1963307 294830 705963
1 4248335 1265622 895223 126322 3596752 15597 1268708 23963 1123949 109849 180268 464463 1779648
1 403685 94558 201594 389051 1753325 45209 386573 52596 131316 71619 172242 157725 173337
1 3916005 152503 1959450 606701 1348281 24149 1087387 27552 767986 92314 306469 698280 3543500
1 645449 782804 254176 5240225 6880126 37420 396523 44029 2056590 224316 56241 321437 9034139
1 5672213 1764349 4187029 199577 1778573 25548 1862346 46610 386470 62555 603706 271161 8429364
1 4525852 796652 938798 8995268 661464 23272 784767 101334 189597 152073 883397 567499 1204600
1 1167008 2112342 3354655 263136 585004 34429 939293 98736 4796971 107447 146555 234448 617167
1 297598 205383 2100616 207353 433578 19674 1397625 60442 36457 65566 45673 81491 637306
1 5345713 282621 6803560 182270 1866399 34706 7570128 41178 604848 45855 142880 103252 2356644
1 1391465 9424981 106478 425523 6660911 44922 4671946 70647 1024309 123720 790544 741486 698063
1 9906768 278153 435280 542994 940021 44443 675037 96197 354875 130928 82895 276864 6097686
1 5685586 486503 5459638 727572 1096529 15968 3232457 30117 1791383 44933 1701235 288027 1229330
1 270939 408941 1222994 4834431 2924439 31155 215942 35709 5905314 74043 1027202 377033 587177
1 1618159 586248 37434 187597 481632 18166 23182 24727 83700 43057 56594 86998 2152346
1 400835 270194 379153 148420 1617881 18461 657360 29402 3551476 36488 268972 178842 2728589
1 2943529 4122531 37518 549344 2832754 18478 89539 34038 36944 39406 940773 741587 995467
1 2594841 151219 284299 1946049 4539332 17645 2243704 40464 2888921 108255 23398 119475 6841280
1 1876442 640791 590851 5085844 7195457 46941 69307 82120 90898 82811 71370 156999 2722161
1 773979 588532 4612746 143599 385564 85517 2550614 88414 130736 115246 37710 135647 787110
1 1931380 177994 761803 6262016 1763122 45706 1733995 63143 5019230 298041 756126 529483 528374
1 2249059 136520 5009857 35373 332274 24718 7085681 65223 329927 112022 177239 316909 2231844
1 4716303 268036 510925 207978 526446 15792 8713831 80247 210098 109010 205649 413057 2390450
1 1516154 95479 114872 282305 559822 31485 4145031 33563 405813 71125 622836 156103 449080
1 527337 245125 37806 294155 1336944 20514 52055 26041 45110 31097 286192 349112 192647
1 724460 2163316 112824 795655 1801909 32955 639914 205486 506106 309750 13300 324023 7296161
1 310809 3596552 254766 88152 194621 29526 3757431 43412 196221 72614 143468 179653 648739
1 173394 3995032 9277308 4742416 2099837 18351 6918597 36888 1550570 41240 77638 66053 476223
1 920247 2049225 158212 1712922 612530 16512 3248584 28904 8997888 32861 255316 145306 3345934
1 2300806 751565 356668 230083 207470 31089 112607 39463 313262 41585 17898 48369 433639
1 7245416 255149 7289163 247626 910700 51711 598549 76967 299510 114757 9439735 711334 1280492
1 1233304 434335 1115828 1340341 1123764 16716 52347 25195 2277354 29472 38773 96963 570106
1 7791532 4986485 8969039 259552 7201159 79323 1474494 170174 175254 248736 587408 530544 2045900
1 45973 62319 438498 244159 6741439 18733 65000 20310 34653 25194 38815 39337 94769
1 3051263 1171820 39090 179388 306905 22963 209563 35735 6615307 40324 33495 68441 1938953
1 7788763 4680388 325118 151032 259701 15224 11912 15928 276780 120027 54427 176281 2369459
1 1324591 7978843 1061538 1953066 1091067 62990 4764494 78646 1327522 130136 85070 303611 6289014
1 2223795 8677500 1310501 84522 4999708 16258 4114702 58133 547039 271274 627405 605593 777388
1 1020994 217847 3210524 4572626 551606 41420 61984 55598 262635 132945 339427 354677 754096
1 5333747 2764236 3130192 468351 978417 41003 154889 60305 2650437 62656 363065 181275 535508
1 8353847 266419 75873 1678813 350505 15827 473388 50665 4517294 171378 1559267 599298 2708906
1 338975 50440 231041 309241 7348189 20070 4044166 25966 4221808 33768 115890 125387 1173815
1 7369482 6940386 126330 322086 287351 33117 307383 40148 775078 133036 221535 208019 925205
1 7901809 76799 3049592 46924 3509782 23157 3454987 34144 494537 90420 127067 252097 3799456
1 449578 3071753 2263653 1321928 265143 15126 154180 18231 55936 43168 292187 145873 517094
1 245563 5356436 117987 1193249 6440363 23870 15776 25589 13556 27794 96714 54567 245274
1 2198364 169780 365584 580249 1387478 36284 288001 79499 1797701 111425 289003 187650 1002961
1 4463621 4480400 345385 333592 5547180 33416 906690 243814 409998 249733 352273 390348 1771071
1 8405025 8648495 562006 3566579 365656 17044 2386990 46164 111265 54212 2894747 732051 861676
1 3277541 240955 64921 3164999 1391859 18315 9752887 40850 335381 49381 1170102 318663 397260
1 286104 180251 73502 68118 8764235 18302 202935 31943 2006585 70337 193675 131329 405682
1 3821464 485877 2448363 956707 1741236 19609 3165017 42173 209105 111699 2806823 743257 581581
1 7824960 497190 341961 115693 322976 36576 136587 40005 6725606 92349 123430 247406 9603679
1 3390596 28855 9294962 356304 7661231 16463 345550 20337 67597 35895 240260 215074 3903903
1 3307276 2823196 206816 342090 5297746 37233 1674218 164027 462883 260821 130770 443253 1584435
1 1858348 1085353 1280580 2124837 4298965 25451 948240 39832 255710 106673 698285 509543 9146679
1 7920117 121393 2587444 4773752 8577128 30535 54004 52575 2623629 68172 635175 624640 3871782
1 711199 147089 2402982 76464 1064056 15646 5397427 25119 4642366 213119 589619 612499 562587
1 610639 6854189 74643 1233376 5502889 15745 132986 33568 59474 55356 352256 480798 612302
1 3483949 1741119 23928 115887 1232478 21094 232230 56188 140564 93865 713782 604122 1182575
1 1196290 85830 913122 1083062 96954 16432 1847101 22755 61659 38505 307424 161345 189325
1 4479218 4595264 167239 1886407 2134905 16431 3434136 27836 158320 66438 137807 207366 413153
1 9426026 2455134 30799 208971 5361988 16486 88928 25254 3723536 37551 128457 153012 2073189
1 8172268 459467 491694 2904632 2683954 32657 354262 37668 575071 156511 540566 350227 457449
1 3465343 3631063 761404 1978324 5196390 15843 207491 19231 19057 25920 60229 105144 1923862
1 6256564 1422562 1245108 1372181 121035 22800 1382122 89820 23998 92321 171999 276809 2094690
